ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr
ENSMUSG00000055172,C1ra,higher,1.68357085587716,0.0000000000000000000000000000000000000258349592240708
ENSMUSG00000028226,Mmp16,higher,2.15971844566015,0.0000000000000000000000000000000000000335472119409316
ENSMUSG00000059901,Adamts14,lower,-1.20760819530024,0.0000000000000000000000000000000000000430105773827535
ENSMUSG00000059645,Gm7361,lower,-2.71508387337975,0.0000000000000000000000000000000000000753868963605919
ENSMUSG00000042734,Ttc9,lower,-1.20104551426986,0.0000000000000000000000000000000000000767705687938637
ENSMUSG00000000594,Gm2a,higher,1.00191679494764,0.0000000000000000000000000000000000000786808762370907
ENSMUSG00000026251,Chrnd,lower,-1.77208445705008,0.0000000000000000000000000000000000000980316496442882
ENSMUSG00000070802,Pnmal2,lower,-1.75020567675148,0.000000000000000000000000000000000000101901843186584
ENSMUSG00000019326,Aoc3,higher,3.49913117550225,0.000000000000000000000000000000000000112586815724179
ENSMUSG00000007888,Crlf1,higher,1.07927388658223,0.000000000000000000000000000000000000113008520021915
ENSMUSG00000056900,Usp13,lower,-1.31984444221607,0.000000000000000000000000000000000000116152902664355
ENSMUSG00000024065,Ehd3,higher,1.00583588124606,0.000000000000000000000000000000000000122024111970069
ENSMUSG00000034295,Fhod3,higher,1.12089917080186,0.000000000000000000000000000000000000122891251379942
ENSMUSG00000046711,Hmga1,lower,-1.3892801163565,0.000000000000000000000000000000000000142834045794758
ENSMUSG00000056457,Prl2c3,lower,-2.79534479443314,0.00000000000000000000000000000000000018584922292141
ENSMUSG00000042284,Itga1,higher,2.79996709309149,0.000000000000000000000000000000000000209257375543887
ENSMUSG00000008540,Mgst1,higher,1.19137771578174,0.000000000000000000000000000000000000231139402413455
ENSMUSG00000040420,Cdh18,lower,-1.06629627957035,0.000000000000000000000000000000000000253868101936652
ENSMUSG00000059493,Nhs,higher,1.76276470565615,0.000000000000000000000000000000000000511330549557606
ENSMUSG00000043822,Adamtsl5,lower,-1.0200063225219,0.000000000000000000000000000000000000553292297632897
ENSMUSG00000036856,Wnt4,higher,2.01520412340119,0.000000000000000000000000000000000000575181456620652
ENSMUSG00000030000,Add2,lower,-2.80124783947818,0.000000000000000000000000000000000000661527930693403
ENSMUSG00000076441,Ass1,higher,1.06884711340539,0.000000000000000000000000000000000000730012364817194
ENSMUSG00000020427,Igfbp3,higher,1.67332366848975,0.000000000000000000000000000000000000762910306706295
ENSMUSG00000003617,Cp,lower,-1.03993102118073,0.00000000000000000000000000000000000086107549700149
ENSMUSG00000028469,Npr2,higher,1.03618902886774,0.000000000000000000000000000000000000867065302518699
ENSMUSG00000024042,Sik1,lower,-1.08033366588343,0.00000000000000000000000000000000000102661434443625
ENSMUSG00000019832,Rab32,higher,1.49136410486294,0.00000000000000000000000000000000000153385816650599
ENSMUSG00000050064,Zfp697,lower,-1.28700179883846,0.00000000000000000000000000000000000159540429959353
ENSMUSG00000021696,Elovl7,higher,2.42481604756153,0.00000000000000000000000000000000000237111175412721
ENSMUSG00000019960,Dusp6,lower,-1.16859083690231,0.00000000000000000000000000000000000247154680015978
ENSMUSG00000035873,Pawr,higher,3.48400987253875,0.00000000000000000000000000000000000301981812776493
ENSMUSG00000046179,E2f8,lower,-1.03793156163405,0.00000000000000000000000000000000000316648824097366
ENSMUSG00000046532,Ar,higher,1.40733758671683,0.00000000000000000000000000000000000540216677681009
ENSMUSG00000021567,Nkd2,higher,2.92835652800856,0.0000000000000000000000000000000000060497225696889
ENSMUSG00000026564,Dusp27,lower,-1.14504720234758,0.00000000000000000000000000000000000663896410763859
ENSMUSG00000057914,Cacnb2,higher,2.42458904688406,0.00000000000000000000000000000000000669253945835142
ENSMUSG00000027692,Tnik,lower,-2.30073588856783,0.00000000000000000000000000000000000697063443730078
ENSMUSG00000023915,Tnfrsf21,higher,1.81668195697402,0.00000000000000000000000000000000000706830714925853
ENSMUSG00000026971,Itgb6,lower,-2.03663049421188,0.00000000000000000000000000000000000717307140049133
ENSMUSG00000048782,Insc,higher,2.62827664055807,0.00000000000000000000000000000000000792013674277698
ENSMUSG00000000142,Axin2,higher,2.24605901785066,0.00000000000000000000000000000000000800882612881594
ENSMUSG00000032006,Pdgfd,lower,-2.08886424875523,0.0000000000000000000000000000000000104567100135027
ENSMUSG00000043587,Pxylp1,higher,1.12331810244612,0.0000000000000000000000000000000000105221779386396
ENSMUSG00000038146,Notch3,lower,-1.35557042867448,0.0000000000000000000000000000000000108331919371462
ENSMUSG00000038319,Kcnh2,higher,2.24281393920311,0.0000000000000000000000000000000000132311166991362
ENSMUSG00000034684,Sema3f,higher,1.76573536152858,0.0000000000000000000000000000000000254056298056723
ENSMUSG00000042942,Greb1l,higher,2.36128638024954,0.0000000000000000000000000000000000390620699253667
ENSMUSG00000027386,Fbln7,higher,2.51213131951805,0.000000000000000000000000000000000041897759756397
ENSMUSG00000025464,Paox,higher,1.29810060530291,0.0000000000000000000000000000000000479939857077482
ENSMUSG00000029869,Ephb6,higher,1.50539417719308,0.0000000000000000000000000000000000591437075471686
ENSMUSG00000014782,Plekhg4,higher,2.15478459085919,0.000000000000000000000000000000000060286434086659
